title_year,imdbId,genres,director,cast,short_summary,poster,trailer,screenshot1,screenshot2,screenshot3,screenshot4,screenshot5,screenshot6,screenshot7,screenshot8,Animation,Mystery,Action,Thriller,Sci-Fi,Adventure,Children,Fantasy,Crime,Documentary,Drama,Romance,Comedy,War,Western,Horror
The Sisters Brothers (2018),4971344,Western,Jacques Audiard,"John C. Reilly, Joaquin Phoenix, Jake Gyllenhaal","In 1850s Oregon, the infamous duo of assassins, Eli and Charlie Sisters, chase a gold prospector and his unexpected ally.",https://m.media-amazon.com/images/M/MV5BOTZmNTI1MzMtMGY0ZS00YTRlLWI4OTktYzE3YzZjZjJkNDVlXkEyXkFqcGdeQXVyMjM4NTM5NDY@.V1_UY800.jpg,https://www.imdb.com/video/vi2897328665,https://m.media-amazon.com/images/M/MV5BMTc0ODUzMzA1OF5BMl5BanBnXkFtZTgwNTM3OTc1NTM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BMzIwNTM5MTQ0NF5BMl5BanBnXkFtZTgwNTI3OTc1NTM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BYzc1NGQ1OTEtOTllYS00NjIxLTgwYWEtN2Y0MDQ0ZDFlMThkXkEyXkFqcGdeQXVyNDkzNTM2ODg@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BZWQ4YmJjNzgtYTA0OS00M2YxLTkzMTYtNTgwOTczZGM1YWZhXkEyXkFqcGdeQXVyNzI1NzMxNzM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BYzBhZDkyMDUtMjEzZi00MjI3LWIwZTMtNzE5OTk2ODIyODg2XkEyXkFqcGdeQXVyNzI1NzMxNzM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BZjAyNTc0MWMtZDFiNy00ODA2LWJmNTctOWZkNjYzZjYzNGZiXkEyXkFqcGdeQXVyNzI1NzMxNzM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BOWQ5ODdlYTQtOTE0MS00MTI5LWFjN2ItM2I3NjdiNDlkNzYyXkEyXkFqcGdeQXVyNzI1NzMxNzM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BYjFlYWEzODQtNWExNS00YjE3LTgyMDEtMWJiNDRjYWM3NTVjXkEyXkFqcGdeQXVyNzI1NzMxNzM@.V1_UY800.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Vox Lux (2018),5960374,Drama,Brady Corbet,"Natalie Portman, Jude Law, Stacy Martin",An unusual set of circumstances brings unexpected success to a pop star.,Link not available,https://www.imdb.com/video/vi2278406681,https://m.media-amazon.com/images/M/MV5BMjQxNzUxODE4MV5BMl5BanBnXkFtZTgwNTU5MjQ4NjM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BMTYwMjY4NTgxN15BMl5BanBnXkFtZTgwNjU5MjQ4NjM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BMTkyMDM2NDkyMF5BMl5BanBnXkFtZTgwNzU5MjQ4NjM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BMjMxMDA3NjA1OV5BMl5BanBnXkFtZTgwODU5MjQ4NjM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BMTkzNzAwOTYyM15BMl5BanBnXkFtZTgwMDY5MjQ4NjM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BMTc2NjQzNjMzOV5BMl5BanBnXkFtZTgwMTY5MjQ4NjM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BMTkyNjUwMjM0Ml5BMl5BanBnXkFtZTgwMjY5MjQ4NjM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BMjE4MjEyNDU0NV5BMl5BanBnXkFtZTgwMzY5MjQ4NjM@.V1_UY800.jpg,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
The Ballad of Buster Scruggs (2018),6412452,Comedy|Drama|Western,Brady Corbet,"Tim Blake Nelson, Willie Watson, Clancy Brown","Six tales of life and violence in the Old West, following a singing gunslinger, a bank robber, a traveling impresario, an elderly prospector, a wagon train, and a perverse pair of bounty hunters.",https://m.media-amazon.com/images/M/MV5BYjRkYTI3M2EtZWQ4Ny00OTA2LWFmMTMtY2E4MTEyZmNjOTMxXkEyXkFqcGdeQXVyNDg4NjY5OTQ@.V1_UY800.jpg,https://www.imdb.com/video/vi2967845401,https://m.media-amazon.com/images/M/MV5BMjQwNDI4MTA3NF5BMl5BanBnXkFtZTgwMTQ1OTEzNjM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BZTYyNGNiMzItZmUyOC00ODE3LWE1ZjItMjVhZTQ3Zjg4MzQ3XkEyXkFqcGdeQXVyNjQ4ODE4MzQ@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BNDk2OWVlNzgtN2VmZi00MTY5LThkYWItMDZlZTA1YzNhNDhlXkEyXkFqcGdeQXVyNjQ4ODE4MzQ@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BZGQwMGViYTAtMTI4Yi00MGMwLTgzODUtMzgzN2I2NGI3NTQxXkEyXkFqcGdeQXVyNjQ4ODE4MzQ@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BZTYwZGQ3NDktMGE4Yy00YzY2LWExMTUtNTcwZTNiOTQ5YjI1XkEyXkFqcGdeQXVyNjQ4ODE4MzQ@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BN2U3M2RkOTktNTU1Yy00YzQ0LWJlMDEtNGY1YTE4MjkzOWJmXkEyXkFqcGdeQXVyNjQ4ODE4MzQ@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BNTVjZWMxNzYtYTNlNS00NzhhLWFhOGQtNDBjZTE4NjZiMDhhXkEyXkFqcGdeQXVyNjQ4ODE4MzQ@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BNDg1MGYwZjQtYzM2Mi00MjU3LWJkNjgtNTgwMWJjZTRjYWMwXkEyXkFqcGdeQXVyNjQ4ODE4MzQ@.V1_UY800.jpg,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False
Roma (2018),6155172,Drama,Alfonso Cuarón,"Yalitza Aparicio, Marina de Tavira, Diego Cortina Autrey",A year in the life of a middle-class family's maid in Mexico City in the early 1970s.,https://m.media-amazon.com/images/M/MV5BMTU0OTc3ODk4Ml5BMl5BanBnXkFtZTgwMzM4NzI5NjM@.V1_UY800.jpg,https://www.imdb.com/video/vi378781465,https://m.media-amazon.com/images/M/MV5BMjMzNDI5OTAzOV5BMl5BanBnXkFtZTgwNTUyMjg0NzM@.V1_UY800.jpg,"https://m.media-amazon.com/images/M/MV5BMTA2MjcyNjE0NzdeQTJeQWpwZ15BbWU4MDA1MjU0NzYz._V1_UY100_CR43,0,100,100_AL_.jpg@.V1_UY800.jpg","https://m.media-amazon.com/images/M/MV5BMTA3NDIwNzI0MjZeQTJeQWpwZ15BbWU4MDI1MjU0NzYz._V1_UY100_CR25,0,100,100_AL_.jpg@.V1_UY800.jpg",https://m.media-amazon.com/images/M/MV5BMTU3OTE4MDE1Ml5BMl5BanBnXkFtZTgwNTUyNTQ3NjM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BMTkxMzU0ODMzMl5BMl5BanBnXkFtZTgwOTQyNTQ3NjM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BZjNmMjQ5N2MtZjEyMy00NzE0LTkyMmMtYTQ0ZjRkMTM5NmM0XkEyXkFqcGdeQXVyNDIyNjA2MTk@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BYTg3NzBjZmMtNDhkZS00Y2JmLThjMDktMGI3ZjQ1YjQwYmEyXkEyXkFqcGdeQXVyNDE5MTU2MDE@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BZDk3OTIxMmYtM2I0My00MDJiLWJlNGMtNGI2YTdiN2E5NDBlXkEyXkFqcGdeQXVyNDE5MTU2MDE@.V1_UY800.jpg,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
A Star Is Born (2018),1517451,Drama|Romance,Bradley Cooper,"Lady Gaga, Bradley Cooper, Sam Elliott",A musician helps a young singer find fame as age and alcoholism send his own career into a downward spiral.,https://m.media-amazon.com/images/M/MV5BNmE5ZmE3OGItNTdlNC00YmMxLWEzNjctYzAwOGQ5ODg0OTI0XkEyXkFqcGdeQXVyMTMxODk2OTU@.V1_UY800.jpg,https://www.imdb.com/video/vi4108959513,"https://m.media-amazon.com/images/M/MV5BMTExMTc5OTc2MTJeQTJeQWpwZ15BbWU4MDgwNjgwNDYz._V1_UY100_CR69,0,100,100_AL_.jpg@.V1_UY800.jpg",https://m.media-amazon.com/images/M/MV5BMTU1MzgxNjgyOF5BMl5BanBnXkFtZTgwOTA2ODA0NjM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BMzY3OTMxMzQyNF5BMl5BanBnXkFtZTgwMDE2ODA0NjM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BMTk3NTQwMzA0MV5BMl5BanBnXkFtZTgwMTE2ODA0NjM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BNjY3NzY3OTk5N15BMl5BanBnXkFtZTgwMjE2ODA0NjM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BNTUwNDY3NTc0MF5BMl5BanBnXkFtZTgwMzE2ODA0NjM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BODgyNTIxNjMxNl5BMl5BanBnXkFtZTgwNzk1ODA0NjM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BMjUyMDAzNTM5MF5BMl5BanBnXkFtZTgwODk1ODA0NjM@.V1_UY800.jpg,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
BlacKkKlansman (2018),7349662,Comedy|Crime|Drama,Spike Lee,"John David Washington, Adam Driver, Laura Harrier","Ron Stallworth, an African American police officer from Colorado Springs, CO, successfully manages to infiltrate the local Ku Klux Klan branch with the help of a Jewish surrogate who eventually becomes its leader. Based on actual events.",https://m.media-amazon.com/images/M/MV5BMjUyOTE1NjI0OF5BMl5BanBnXkFtZTgwMTM4ODQ5NTM@.V1_UY800.jpg,https://www.imdb.com/video/vi3361323545,https://m.media-amazon.com/images/M/MV5BNDM5OWY4MjAtMDRmMy00OWI4LTkwNzgtZjlkZjZiZTQ2YWZjXkEyXkFqcGdeQXVyMjM4NTM5NDY@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BMjQwNjk4NDgwMV5BMl5BanBnXkFtZTgwMjg3MTI0NTM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BMDMzYmNkNTMtYjdjNC00MjhmLTg2MTAtNmJhY2VkOWRkNjQ1XkEyXkFqcGdeQXVyNDE5MTU2MDE@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BZmFiZmYyNDYtYzE2ZC00ZmE4LTliMDItZTg2NzhmZjk4MDk0XkEyXkFqcGdeQXVyNDE5MTU2MDE@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BOGI4ZTNhMTgtNjY4NS00MzQ1LWFiYjQtMWZhZTE1OGJhNTA5XkEyXkFqcGdeQXVyNDE5MTU2MDE@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BZDA2MDU2YmQtODExZC00MDc0LTkyZjYtMWM4YTdkMmJjYzg5XkEyXkFqcGdeQXVyNDE5MTU2MDE@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BNjU0ZTQyMmMtNWI5MC00YTYxLTkyZDUtZDliYTRlMjRiNWE3XkEyXkFqcGdeQXVyNDE5MTU2MDE@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BZmJmNWEzMTktNjhjYy00NjNhLTk3MGUtMWNmYTNlMmUyNTQ2XkEyXkFqcGdeQXVyNDE5MTU2MDE@.V1_UY800.jpg,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False
The Beguiled (2017),5592248,Drama|Thriller|Western,Sofia Coppola,"Nicole Kidman, Kirsten Dunst, Elle Fanning",The unexpected arrival of a wounded Union soldier at a girls school in Virginia during the American Civil War leads to jealousy and betrayal.,https://m.media-amazon.com/images/M/MV5BMTg5NjY3NDYxMl5BMl5BanBnXkFtZTgwMjI5ODgyMjI@.V1_UY800.jpg,https://www.imdb.com/video/vi1540864281,https://m.media-amazon.com/images/M/MV5BNTY5MjAzMzM3OF5BMl5BanBnXkFtZTgwNjgxNTA2MjI@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BNDg0ODgwNTA4MF5BMl5BanBnXkFtZTgwNzgxNTA2MjI@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BMjA1Njc5NjMxMV5BMl5BanBnXkFtZTgwODgxNTA2MjI@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BMjIyMDEzODIzMF5BMl5BanBnXkFtZTgwMDkxNTA2MjI@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BNDExNzg4NjcwNl5BMl5BanBnXkFtZTgwNTkxNTA2MjI@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BMjAyNDg5NTUzM15BMl5BanBnXkFtZTgwNjkxNTA2MjI@.V1_UY800.jpg,"https://m.media-amazon.com/images/M/MV5BMTEwNDkwNTAyMDFeQTJeQWpwZ15BbWU4MDc5MTUwNjIy._V1_UY100_CR25,0,100,100_AL_.jpg@.V1_UY800.jpg",https://m.media-amazon.com/images/M/MV5BMTg5MzE5NzQ3Ml5BMl5BanBnXkFtZTgwMDcxNTA2MjI@.V1_UY800.jpg,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False
The Shape of Water (2017),5580390,Adventure|Drama|Fantasy,Guillermo del Toro,"Sally Hawkins, Octavia Spencer, Michael Shannon","At a top secret research facility in the 1960s, a lonely janitor forms a unique relationship with an amphibious creature that is being held in captivity.",https://m.media-amazon.com/images/M/MV5BNGNiNWQ5M2MtNGI0OC00MDA2LWI5NzEtMmZiYjVjMDEyOWYzXkEyXkFqcGdeQXVyMjM4NTM5NDY@.V1_UY800.jpg,https://www.imdb.com/video/vi2242363161,https://m.media-amazon.com/images/M/MV5BMTljOTQzNjItOWQwMi00Njg4LTgzMzUtMWQxZmRjMzZmNDc2XkEyXkFqcGdeQXVyNDg2MjUxNjM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BMDhjMDAwZmQtYzVhZC00ZmE1LTk2ZjItNzVhZDg3ZDcyZTljXkEyXkFqcGdeQXVyNDg2MjUxNjM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BOTdlOGVmZDgtZWQ5Zi00ZDIzLWE1ODYtYzA0ZDEzNGMwMzBlXkEyXkFqcGdeQXVyNDg2MjUxNjM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BNzgwNjQxMTktNTA0NS00Y2Q0LWE4MDEtYTYyZjQwNGJkNzlmXkEyXkFqcGdeQXVyNDg2MjUxNjM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BMjIwYjM1MWYtNjBjZS00NTRiLWJmMDItNjA5ZGFhYzQ4ZGViXkEyXkFqcGdeQXVyNDg2MjUxNjM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BZDdmMDU2OWUtMzY2NS00YmIyLWJhMGEtYzlhY2M3MTkyYTdmXkEyXkFqcGdeQXVyNDg2MjUxNjM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BYjMzN2ViM2ItZGExYy00ZjZkLWE4MjAtZDAzOWVkODI5NWU3XkEyXkFqcGdeQXVyNDg2MjUxNjM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BNWQ3MDg1NmYtYzc4MS00ZTA0LWJkZTAtYmExMDNkNGUzZWFhXkEyXkFqcGdeQXVyNDg2MjUxNjM@.V1_UY800.jpg,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False
"Three Billboards Outside Ebbing, Missouri (2017)",5027774,Crime|Drama,Martin McDonagh,"Frances McDormand, Woody Harrelson, Sam Rockwell",A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,https://m.media-amazon.com/images/M/MV5BMjI0ODcxNzM1N15BMl5BanBnXkFtZTgwMzIwMTEwNDI@.V1_UY800.jpg,https://www.imdb.com/video/vi3898915609,https://m.media-amazon.com/images/M/MV5BMmI3OTliNTYtZmEwNS00Y2I0LTkwNDItYjJhZTYwM2Y0YjQwXkEyXkFqcGdeQXVyNDg2MjUxNjM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BNzljZTYzMzEtOTllNi00OTM4LWIzNmQtMTJmOTAwMDkyMmEyXkEyXkFqcGdeQXVyNDg2MjUxNjM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BNWQwZWJlMzYtZjQ4OC00OTQ5LTliZmItMWYzNTJmY2EyNzlmXkEyXkFqcGdeQXVyNDg2MjUxNjM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BYzA5MmU3NTQtMGQ1OC00ZWE1LWExYWYtMWY5ZWUwZWY3ZDYxXkEyXkFqcGdeQXVyNDg2MjUxNjM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BYmFjMTQ3MmUtNTQ0Mi00ZDg3LThmNjctNzFjM2I4NzY4ODkwXkEyXkFqcGdeQXVyNDg2MjUxNjM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BZWQ2OTk2NWEtMjkwNS00OWE4LWJkNzctNjkyMWJjNWI1N2I5XkEyXkFqcGdeQXVyNDg2MjUxNjM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BNjFmODUwNzQtNTYzMi00MTZmLTljMDItZjUwMTdlMjVkYTE0XkEyXkFqcGdeQXVyNDg2MjUxNjM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BYTliODI4MWUtMmFiYy00ZjM1LTg1MmQtYjMzMWQ0MWRjZWRlXkEyXkFqcGdeQXVyNDg2MjUxNjM@.V1_UY800.jpg,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
Lean on Pete (2018),5340300,Adventure|Drama,Andrew Haigh,"Charlie Plummer, Amy Seimetz, Travis Fimmel","A teenager gets a summer job working for a horse trainer and befriends the fading racehorse, Lean on Pete.",https://m.media-amazon.com/images/M/MV5BNWRiYzYxNTEtYmU5My00M2Q5LTk5Y2ItZjhkMTZmNjVhYmFhXkEyXkFqcGdeQXVyNTAzMTY4MDA@.V1_UY800.jpg,https://www.imdb.com/video/vi2272835609,https://m.media-amazon.com/images/M/MV5BMzY5ZmM1MWMtOWExMi00ZTc1LTk4MjktYzhlYTU5MzVmNzRkXkEyXkFqcGdeQXVyNDg2MjUxNjM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BZWYxODlhZTUtYzBlZS00NjNhLWEyZDgtZWEyODE4MDRkNGEwXkEyXkFqcGdeQXVyNDg2MjUxNjM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BNzdjZTUwMTktN2JmOC00YzRjLTg0MTItMzM1YzFjOTIzMTJhXkEyXkFqcGdeQXVyNDg2MjUxNjM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BNjc5ODllZTMtNGJiZS00MDM5LTg3MTMtNmE5MzE1MTkyMDVmXkEyXkFqcGdeQXVyNDg2MjUxNjM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BMDc4MDk4MGMtMTIxYS00YWMxLThjODYtMGM1MjlkYjNmZmY3XkEyXkFqcGdeQXVyNDg2MjUxNjM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BZmJiYmRmNDMtYTUwNi00YzUzLTkzZGQtYWRmODg0MTZmN2E3XkEyXkFqcGdeQXVyNDg2MjUxNjM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BNTU5NTA2M2EtYmFiNy00ODU4LTk4YTQtOGRiMzZiYmI1MDAxXkEyXkFqcGdeQXVyNDg2MjUxNjM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BOGU1ZjU0NTktMmFlNi00MWRiLWE5NDUtZTMyZWYwNTAwZDU2XkEyXkFqcGdeQXVyNDg2MjUxNjM@.V1_UY800.jpg,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
The Killing of a Sacred Deer (2017),5715874,Drama|Horror|Mystery|Thriller,Yorgos Lanthimos,"Barry G. Bernson, Herb Caillouet, Bill Camp","Steven, a charismatic surgeon, is forced to make an unthinkable sacrifice after his life starts to fall apart, when the behavior of a teenage boy he has taken under his wing turns sinister.",https://m.media-amazon.com/images/M/MV5BMjU4NDcwOTA2NF5BMl5BanBnXkFtZTgwMjE2OTg4MzI@.V1_UY800.jpg,https://www.imdb.com/video/vi998160921,https://m.media-amazon.com/images/M/MV5BNGMwM2I0NjktZDMwNS00ZDI5LTkzYWUtMDgyNjA3MjY4Y2VmXkEyXkFqcGdeQXVyNDg2MjUxNjM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BMzY3NGJkODgtZDlhNC00NWYwLTkyN2ItOGIxMjllMzNiNWYyXkEyXkFqcGdeQXVyNDg2MjUxNjM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BYjgxZmY4ODctMzk5Mi00NmVhLTgzNDgtM2ZiODkzMTNlYTYyXkEyXkFqcGdeQXVyNDg2MjUxNjM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BZTNjMzNmZDktZjU4Ny00MmUzLTk2YzItZTU2MzBkNjA1OTFhXkEyXkFqcGdeQXVyNDg2MjUxNjM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BMTkyMDM4MDk0OV5BMl5BanBnXkFtZTgwMzMwMTEwMjI@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BOWMxNDhhY2UtY2UxOC00MTM5LWJiNDQtMzA4NjE1YmFiZmE0XkEyXkFqcGdeQXVyMzkyOTg1MzE@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BNWI0OTNmYmMtMTRkMy00YTJhLTk4MTEtMTYyYTllMDZjNTFmXkEyXkFqcGdeQXVyOTg4MTY3MDk@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BMzNhNjZhYTgtNjE3My00MmRkLTkxMDAtMTcwMWU1OTZhYTFmXkEyXkFqcGdeQXVyOTg4MTY3MDk@.V1_UY800.jpg,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True
The Square (2017),4995790,Drama,Ruben Östlund,"Claes Bang, Elisabeth Moss, Dominic West",A prestigious Stockholm museum's chief art curator finds himself in times of both professional and personal crisis as he attempts to set up a controversial new exhibit.,https://m.media-amazon.com/images/M/MV5BMzc1MDY3NDIwMV5BMl5BanBnXkFtZTgwNzkwNzU0MzI@.V1_UY800.jpg,https://www.imdb.com/video/vi3085287193,https://m.media-amazon.com/images/M/MV5BMTk1NDc5NTM5NV5BMl5BanBnXkFtZTgwOTM4MTAzMjI@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BOWRlZWZmMWEtNDEyNC00NGFjLTg3M2UtYjkzZTQ4MWE3MzFkXkEyXkFqcGdeQXVyOTg2Mzc2OTg@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BOThkZjM5OGQtMDM1NC00ZDg0LWI1OTMtZmZkNGFkYzdkNjE2XkEyXkFqcGdeQXVyNzg0MjI2NzQ@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BN2UwOWRiYTYtOWVhMC00NjZhLWI4MGItZTkzODFiNjYzNWM3XkEyXkFqcGdeQXVyMzIwMTIwODc@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BM2E0OTIyMDEtMTg3Yy00M2FhLWExMTMtZTgyYzMxNjcxOWFlXkEyXkFqcGdeQXVyMzIwMTIwODc@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BYzM4YjQxMzAtYjQxMi00M2ZmLWI3M2MtZDczYTk3OTM1NjhiXkEyXkFqcGdeQXVyMzIwMTIwODc@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BMjZkZWRkNGEtZjdjNC00MDY4LTk3M2ItNzY0Y2NiMmU1YzhkXkEyXkFqcGdeQXVyMzIwMTIwODc@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BYTA3OTg2ODMtOTU5Yi00MDNkLWIzMDctNjZmNjFjYjQ0OWI2XkEyXkFqcGdeQXVyMzIwMTIwODc@.V1_UY800.jpg,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Wonderstruck (2017),5208216,Drama,Todd Haynes,"Oakes Fegley, Julianne Moore, Michelle Williams","Tells the tale of two children separated by fifty years. In 1927, Rose searches for the actress whose life she chronicles in her scrapbook; in 1977, Ben runs away from home to find his father.",https://m.media-amazon.com/images/M/MV5BMjM3NjY0MTYwM15BMl5BanBnXkFtZTgwMDI5NzA2MzI@.V1_UY800.jpg,https://www.imdb.com/video/vi4215650585,https://m.media-amazon.com/images/M/MV5BMTgxOTg3Mjk4OV5BMl5BanBnXkFtZTgwMDI4OTYwNDI@.V1_UY800.jpg,Link not available,Link not available,Link not available,https://m.media-amazon.com/images/M/MV5BMzg2MzZhNzctYjE4NS00Mjc3LWIwZjUtMWQwYzg5Yzc3ODM3XkEyXkFqcGdeQXVyNTc5OTMwOTQ@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BZTFjNzc3MzItYTZiNS00OGM4LWE1M2MtMmYzOTEzMDQ0NzVjXkEyXkFqcGdeQXVyNTc5OTMwOTQ@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BZDZiYzFkYTAtMzU3Yy00MzVmLThjN2UtNmNmNDE5ZTE0YmZjXkEyXkFqcGdeQXVyNTc5OTMwOTQ@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BMjM3NjY0MTYwM15BMl5BanBnXkFtZTgwMDI5NzA2MzI@.V1_UY800.jpg,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Bumblebee (2018),4701182,Action|Adventure|Sci-Fi,Travis Knight,"Hailee Steinfeld, Jorge Lendeborg Jr., John Cena","On the run in the year 1987, Bumblebee finds refuge in a junkyard in a small California beach town. On the cusp of turning 18 and trying to find her place in the world, Charlie Watson discovers Bumblebee, battle-scarred and broken.",https://m.media-amazon.com/images/M/MV5BMjUwNjU5NDMyNF5BMl5BanBnXkFtZTgwNzgxNjM2NzM@.V1_UY800.jpg,https://www.imdb.com/video/vi308330265,https://m.media-amazon.com/images/M/MV5BMjA1Mzg1MDAyNV5BMl5BanBnXkFtZTgwMzY2Njc5NjM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BMjAzMjg0MTgyN15BMl5BanBnXkFtZTgwNDY2Njc5NjM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BMjA1ODMyNDU5Nl5BMl5BanBnXkFtZTgwNTY2Njc5NjM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BMTg1MTM5OTAzMF5BMl5BanBnXkFtZTgwNzY2Njc5NjM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BMjM5MDI1NTA0Ml5BMl5BanBnXkFtZTgwODY2Njc5NjM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BMTk1MDQ1ODEyNV5BMl5BanBnXkFtZTgwOTY2Njc5NjM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BMjQ1NTg1NDI0NV5BMl5BanBnXkFtZTgwMDc2Njc5NjM@.V1_UY800.jpg,https://m.media-amazon.com/images/M/MV5BMjA5NDAxOTM3MF5BMl5BanBnXkFtZTgwMTc2Njc5NjM@.V1_UY800.jpg,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False
